employee_id,department,grade,salary,gender,years_experience,absences
1,Finance,G1,50683,M,0,15
2,Marketing,G1,40225,M,6,5
3,Tech,G3,82159,F,0,7
4,Finance,G2,59508,M,12,17
5,Finance,G2,19622,M,13,11
6,Marketing,G1,150000,M,6,14
7,Tech,G4,40073,M,2,8
8,Tech,G2,62786,F,10,12
9,Finance,G4,38112,F,7,14
10,HR,G2,48278,F,2,9
11,Finance,G4,20000,F,13,15
12,Finance,G3,62986,M,13,6
13,Finance,G4,31995,M,12,16
14,Finance,G3,44982,F,0,6
15,Marketing,G3,42875,F,12,13
16,Tech,G5,40200,F,12,14
17,Marketing,G3,76481,M,13,6
18,Marketing,G1,56074,F,7,8
19,Marketing,G3,31086,F,2,18
20,Finance,G2,63767,F,1,15
21,HR,G4,81832,M,0,7
22,Tech,G1,65486,M,13,17
23,HR,G4,27209,M,2,17
24,Marketing,G2,42736,M,14,19
25,Marketing,G2,69003,M,1,6
26,HR,G2,39384,M,1,2
27,HR,G3,56657,M,5,17
28,HR,G3,61619,M,11,9
29,Marketing,G4,36096,F,0,6
30,Marketing,G4,49107,F,1,16
31,Tech,G1,1380,M,13,13
32,Tech,G1,34634,M,5,2
33,Marketing,G4,46211,F,2,11
34,HR,G3,31283,M,14,12
35,HR,G2,74486,M,3,1
36,Tech,G4,28547,M,0,2
37,Marketing,G1,43399,F,7,4
38,Tech,G3,51961,F,12,10
39,Tech,G4,71619,F,6,7
40,Finance,G4,28462,F,6,11
41,Finance,G3,67447,F,2,6
42,Finance,G4,50153,M,9,14
43,HR,G3,35277,F,9,16
44,Marketing,G2,56931,M,2,3
45,Marketing,G3,52985,M,13,12
46,Marketing,G3,40996,F,1,17
47,Marketing,G3,51047,F,11,0
48,Finance,G4,44220,M,0,15
49,HR,G4,51702,M,6,12
50,HR,G3,59931,M,6,9
51,Finance,G4,73790,F,11,11
52,HR,G1,31432,F,1,1
53,Finance,G1,81995,F,6,2
54,Marketing,G4,20718,F,12,9
55,Finance,G4,47723,F,7,1
56,Marketing,G3,58824,M,0,12
57,Marketing,G2,54214,F,8,12
58,Tech,G4,40659,M,6,17
59,Finance,G1,46878,M,2,2
60,Tech,G3,42604,M,7,6
61,Finance,G4,41159,F,6,13
62,Finance,G1,62744,F,10,19
63,Tech,G1,55355,F,14,16
64,Tech,G2,39606,M,12,11
65,Finance,G3,63493,M,7,15
66,HR,G3,54609,M,5,11
67,Marketing,G2,62192,M,8,14
68,Tech,G2,59444,M,14,9
69,Marketing,G3,37565,M,4,6
70,HR,G3,41597,F,2,19
71,HR,G4,61209,F,2,4
72,HR,G4,59155,F,0,0
73,Tech,G2,49686,F,11,16
74,HR,G4,51759,M,14,2
75,Tech,G1,69164,M,7,12
76,HR,G4,41126,F,1,13
77,Marketing,G4,58206,M,2,17
78,Marketing,G1,46967,F,7,3
79,Finance,G2,46734,F,13,17
80,Marketing,G1,66481,F,7,4
81,Finance,G4,62381,M,13,15
82,Marketing,G2,62202,F,10,0
83,Tech,G4,69582,F,3,13
84,Marketing,G1,50315,F,3,14
85,Finance,G1,60229,M,4,8
86,Finance,G4,45345,M,5,14
87,HR,G3,54862,F,4,16
88,Tech,G3,48047,M,13,3
89,Marketing,G1,51454,M,14,11
90,HR,G1,58927,M,6,4
91,Marketing,G3,37726,M,1,4
92,Marketing,G3,81385,M,6,10
93,HR,G4,34909,M,9,5
94,HR,G4,31787,M,6,6
95,HR,G3,67371,M,0,13
96,HR,G4,61874,M,6,10
97,HR,G4,59361,M,4,12
98,Marketing,G2,59425,F,2,1
99,HR,G4,49816,F,12,6
100,Tech,G1,36541,M,2,19
101,Finance,G4,51137,F,3,3
102,HR,G4,39842,F,12,7
103,HR,G3,64626,M,11,19
104,Marketing,G1,47794,M,1,18
105,HR,G4,37617,M,1,12
106,HR,G4,45179,F,0,13
107,HR,G2,56193,F,14,9
108,Marketing,G4,41544,M,4,10
109,HR,G4,37666,M,3,1
110,Finance,G2,53655,M,10,8
111,Marketing,G3,53674,F,9,16
112,Finance,G4,42395,F,14,2
113,Marketing,G2,42934,F,1,5
114,HR,G1,53480,F,2,4
115,Finance,G3,28278,M,6,4
116,Marketing,G1,28888,M,6,14
117,Tech,G1,39223,M,11,16
118,HR,G2,46798,M,3,8
119,Marketing,G4,54663,F,4,2
120,Tech,G2,72130,F,4,19
121,Marketing,G2,62864,M,5,16
122,Tech,G2,47600,M,13,9
123,HR,G2,49714,F,8,2
124,Finance,G3,34962,M,1,17
125,Tech,G4,49722,F,4,17
126,Marketing,G1,45670,M,11,16
127,HR,G1,54840,M,2,2
128,Tech,G4,37591,M,3,2
129,Marketing,G1,57790,M,9,5
130,Marketing,G4,72991,M,5,12
131,Marketing,G1,48368,M,11,14
132,Tech,G2,56025,M,7,8
133,Tech,G1,60352,F,0,3
134,Tech,G4,43981,F,9,13
135,Finance,G4,53361,F,13,4
136,Tech,G4,50188,F,7,1
137,Tech,G4,51465,F,10,10
138,Tech,G4,38404,M,13,8
139,Finance,G3,50367,M,6,2
140,Tech,G3,57469,F,0,8
141,Marketing,G1,71767,M,1,2
142,Tech,G4,64389,F,2,1
143,Marketing,G1,82297,F,0,11
144,Marketing,G4,38489,M,13,9
145,Marketing,G4,63084,M,8,8
146,Finance,G3,52750,M,7,14
147,Finance,G3,82847,F,1,7
148,Finance,G2,37875,M,12,4
149,Tech,G3,37404,F,8,10
150,Marketing,G2,41009,F,6,1
151,Finance,G2,18141,F,8,14
152,Finance,G2,42113,M,5,5
153,Tech,G2,38613,M,5,7
154,Finance,G2,52255,F,10,4
155,Tech,G1,55126,M,13,15
156,HR,G3,78142,M,3,17
157,Finance,G2,64256,M,9,5
158,HR,G4,41346,F,9,4
159,Tech,G3,36523,F,12,15
160,Marketing,G3,57378,M,12,12
161,Finance,G2,30196,F,1,4
162,Tech,G1,77471,M,6,12
163,Marketing,G2,67691,M,4,16
164,Marketing,G1,42962,M,10,17
165,HR,G4,24302,M,5,7
166,Tech,G3,70308,F,1,12
167,Marketing,G4,48281,F,4,18
168,Finance,G1,68567,F,9,2
169,Finance,G1,26083,M,3,7
170,HR,G4,41009,M,8,1
